ID;UPCEAN;Name;CategoryID;BrandID
4737366;088267046047;Tops beef bologna 6oz;1;0
4737367;088267110380;Tops beef bologna 6oz 12ct;1;0
4737368;074701002359;Tops beef cube steaks 48.oz;1;0
4737369;088267045972;Tops beef franks 16oz;1;0
4737370;088267045743;Tops beef franks 16oz 24ct;1;0
4737371;070784057392;Tops beef ravioli 25oz;1;0
2697881;070784040226;Tops berry medley 16oz;2507362;2405323
4737372;019904018653;Tops bg Game pep ftbll pizza 31.5oz;1;0
3012205;070784061092;Tops bg&crsty onion bgl 15.6oz;330591;2405323
4003188;688267028465;tops big bag Pure Ice nuggets 22lb;1;0
4737373;019904018660;Tops big Game itl ftball pizz 31oz;1;0
2405259;025932384141;Tops bill of lading short triplicat topl3841;2;2405251
2697882;070784230009;Tops Black beans 15.5oz;65;2405323
4737374;070784847320;Tops Black pepper ground dot 4oz;1;0
4737375;070784265667;Tops Black pepper ground dot 4oz 24ct;1;0
2697883;070784040042;Tops blackberries 16oz;2507362;2405323
2697884;070784212081;Tops blackeye peas 15.5oz;65;2405323
2697885;070784430652;Tops blackeye peas drydot 16oz;22067;2405323
3242918;070784502724;Tops blanched slivered almonds;330591;2405323
4737376;070784024325;Tops blended vanilla low fat yogurt 8oz;1;0
3242919;070784509105;Tops Blue corn tortilla chips;330591;2405323
2697886;070784040066;Tops blueberries 16oz;2507362;2405323
2697887;070784040127;Tops blueberries frzn large 40oz;2507362;2405323
4737377;070784447902;Tops Blueberry muffin Mix do 18.6oz;1;0
3242920;070784503332;Tops Blueberry nut Mix;330591;2405323
3178139;070784056258;Tops Blueberry pancakes;330591;2405323
4737378;088267558069;Tops bnls sknls tenders 40oz;1;0
1732350;025932441608;Tops book voice mail message log 4416;2;2405251
3242921;070784502908;Tops boston baked beans;330591;2405323
3021278;070784254005;Tops bouillon cube beef 3.25oz;330591;2405323
3021279;070784254012;Tops bouillon cube chicken 3.25oz;330591;2405323
2697888;070784471686;Tops bran flakes friendly harvest 17.3oz;24389;2405323
3242922;070784503189;Tops brazil nuts;330591;2405323
3242925;070784452890;Tops bread crumbs Golden toasted;330591;2405323
4737379;070784007809;Tops brk n bake choc chip 18oz;1;0
4737380;070784005904;Tops brnsug bcn bkdbn-Red dot 27oz;1;0
2697889;070784043920;Tops broccoli cauliflower 16oz;2507362;2405323
2697890;070784043449;Tops broccoli cuts 16oz;2507362;2405323
2697891;070784044040;Tops broccoli cuts 32oz;2507362;2405323
2697892;070784043463;Tops broccoli florets 16oz;2507362;2405323
4737381;070784043265;Tops broccoli spears 10oz;1;0
2697894;070784429069;Tops brown Rice instant 14oz;23967;2405323
4737382;070784450858;Tops brownie chewy fudge-dot 19.8oz;1;0
4737383;070784450841;Tops brownie Dark chocolate Mix-do 19.8oz;1;0
2697895;070784043487;Tops brussel sprouts 16oz;2507362;2405323
4737384;070784074849;Tops btr dip fish fille 21.2oz;1;0
4737385;070784007106;Tops btrmilk biscut 7.5oz;1;0
2697896;735854994716;Tops business forms book,steno,6x9.70ct,Green 99470ea;2;2405251
2697897;070972131163;Tops business forms notebook,poly,cr,wrbnd,2s 99583od;2;2405251
2697898;025932994326;Tops business forms pad,gluetop,5x8.50 sht,dz,wht 99432;2;2405251
2697899;025932994319;Tops business forms pad,gluetop,5x8.50/sht,dz,canr 99431;2;2405251
2697900;025932994128;Tops business forms pad,gum,8.5x11,od,can,lgl rld 99412;2;2405251
2697903;735854011673;Tops business forms pad,gum,8.5x14,od,wht,lgl rld 99413;2;2405251
2697904;735854882310;Tops business forms pad,od Green,jr,6/pk,8x5,White 99438;2;2405251
2697905;735854882303;Tops business forms pad,od grn,legl,6pk,8.5x14,wht 99437;2;2405251
2697906;735854882297;Tops business forms pad,od grn,lttr,6pk,8.5x11,wht 99436;2;2405251
2697907;025932994210;Tops business forms pad,perf,5x8,can,lgl,rld,12pk 99421;2;2405251
2697908;025932994227;Tops business forms pad,perf,5x8,lgl,wht,rld,12pk 99422;2;2405251
2697909;025932994005;Tops business forms pad,perf,8.5x11,od,12pk,lgl rl 99400;2;2405251
2697910;025932994012;Tops business forms pad,perf,8.5x11,od,lgl rld,12p 99401;2;2405251
2697911;025932994357;Tops business forms pad,perf,8.5x11,od,lgl rld,3pk 99435;2;2405251
2405305;025932782015;Tops business forms pad,scratch,3x5,wht,100sht,dz 99479;1;2405251
2697913;025932994784;Tops business forms pad,scratch,4x6.50ct,12pk 99478;2;2405251
2697914;025932994708;Tops business forms pad,steno,6x9,gregg,doz,70sht 99470;2;2405251
2697915;735854100513;Tops business forms paper,flr,10.5x8.150 ct,wd rld 99536od;205445;2405251
2697916;025932994760;Tops business forms quad pad,4inch x4inch sq,ltr,6/pk,wht 99476;2;2405251
2697917;025932994777;Tops business forms scratch pad 5x8 100ct 12 pk 99477;2;2405251
2697918;025932994753;Tops business forms steno, 70ct gregg rule, whi 99475;2;2405251
2697919;070784230344;Tops Butter beans 15.5oz;65;2405323
4737386;070784441825;Tops Butter cook spray 7.2oz;1;0
1630327;846597008049;Tops c/f 200g;1;0
1630328;846597009046;Tops c/f 500g;1;0
4737387;070784447254;Tops cake Mix-Butter dot * 18.25oz;1;0
4737388;070784447247;Tops cake Mix-Lemon dot 18.25oz;1;0
2405260;718103160933;Tops canary narrow ruled 12pk 21674stp;2;2405251
3242926;023637461754;Tops candies, filled raspberries;330591;2405323
